,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,disposition
4342,0.0,1.0,0.0,0.0008836752051783366,7.586880008401471e-06,0.0,0.19306930693069307,0.999998056491319,3.419593345656192e-05,0.806930693069307,2
4343,0.0,1.0,0.0,0.0004528835426538975,1.123057895980481e-05,0.0,0.0299009900990099,0.9999965016843742,6.007393715341959e-05,0.9700990099009901,2
4344,0.0,0.0,0.0,0.0008947211452430656,7.886362113996266e-06,0.0,0.008514851485148514,0.9999972790878466,8.78003696857671e-06,0.9914851485148515,0
4345,0.0,1.0,0.0,0.0006627564038837524,7.73662106119887e-06,0.0,0.020297029702970298,0.999997408655092,4.158964879852125e-06,0.9797029702970297,2
4346,1.0,0.0,1.0,0.03271807447172792,0.0020066299348536583,1.0,0.0026980198019801982,0.9980720393884426,0.005157116451016635,0.9973019801980199,2
4347,0.0,0.0,0.0,0.0009720427256961703,8.784808430780651e-06,0.0,0.00886138613861386,0.9999979269240736,2.356746765249538e-05,0.9911386138613861,0
4348,0.0,1.0,0.0,0.002176050192751654,9.48360001050184e-06,0.0,0.04698019801980199,0.9999976677895828,3.8354898336414045e-05,0.953019801980198,2
4349,0.0,0.0,0.0,0.0007290320442721277,9.583427379033438e-06,0.0,0.10396039603960397,0.999998056491319,3.3271719038817e-05,0.8960396039603961,0
4350,0.0,1.0,0.0,0.0010272724260198163,6.289124217490694e-05,0.0,0.02193069306930693,0.9999534853589013,0.00031700554528650646,0.978069306930693,2
4351,0.0,0.0,1.0,0.2528967977819752,0.0002886508361091165,0.0,5.6930693069306934e-05,0.9999111168696554,0.00035120147874306834,0.9999430693069307,2
4352,0.0,1.0,0.0,0.0009057670853077951,0.0001411059854194142,0.0,0.04470297029702971,0.9998683596786733,5.2218114602587796e-05,0.9552970297029703,2
4353,0.0,0.0,0.0,0.000740077984336857,6.2891242174906935e-06,0.0,0.047227722772277235,0.9999949468774294,3.096118299445472e-05,0.9527722772277227,0
4354,1.0,0.0,0.0,0.0013586506279616925,2.2760640025204417e-05,0.0,0.0067326732673267334,0.999979917076963,6.515711645101664e-05,0.9932673267326733,2
4355,0.0,0.0,0.0,0.0007732158045310445,6.638520007351288e-06,0.0,0.046039603960396046,0.9999981860585644,6.0073937153419595e-06,0.9539603960396039,0
4356,0.0,0.0,0.0,0.024179562801692235,2.3808827394786202e-05,0.0,0.0006237623762376238,0.9999985747603006,1.8946395563770793e-05,0.9993762376237624,1
4357,0.0,0.0,0.0,0.0010714561862787333,6.48877895455389e-06,0.0,0.018910891089108914,0.9999975382223374,2.6340110905730128e-05,0.9810891089108911,0
4358,0.0,0.0,0.0,0.0008284455048546905,1.3426781067499974e-05,0.0,0.06435643564356436,0.9999927442342575,4.8983364140480595e-05,0.9356435643564356,0
4359,0.0,0.0,0.0,0.0007511239244015861,3.064700213920068e-05,0.0,0.013415841584158417,0.9999847110650427,0.00019963031423290203,0.9865841584158416,0
4360,1.0,1.0,0.0,0.0006075267035601064,5.640246322035305e-06,0.0,0.10891089108910892,0.9999983156258098,4.621072088724584e-06,0.8910891089108911,2
4361,1.0,0.0,0.0,0.0022754636533342167,5.490505269237907e-06,1.0,0.02722772277227723,0.9999981860585644,6.9316081330868755e-06,0.9727722772277227,2
4362,0.0,0.0,1.0,0.003877124962719952,0.002215868099295888,0.0,0.016831683168316833,0.9979243327286862,0.004319778188539741,0.9831683168316832,2
4363,1.0,1.0,0.0,0.0012150534071202128,4.991368426579915e-06,1.0,0.05445544554455446,0.9999985747603006,1.66358595194085e-05,0.9455445544554455,2
4364,0.0,1.0,0.0,0.0026178877953408224,3.3941305300743422e-06,1.0,0.041287128712871296,0.9999975382223374,1.0166358595194085e-05,0.9587128712871287,2
4365,0.0,0.0,0.0,0.001060410246214004,2.9449073716821505e-05,0.0,0.021782178217821784,0.9999691629955947,0.00012199630314232902,0.9782178217821782,0
4366,0.0,1.0,0.0,0.0008726292651136075,9.768108010816896e-05,0.0,0.022425742574257425,0.9999332728686188,4.158964879852125e-05,0.9775742574257426,2
4367,0.0,0.0,0.0,0.0006296185836895648,5.590332637769506e-06,0.0,0.02103960396039604,0.999998056491319,2.5415896487985213e-05,0.9789603960396039,0
4368,0.0,0.0,0.0,0.0011045940064729207,5.490505269237907e-06,0.0,0.009108910891089108,0.9999983156258098,1.8484288354898337e-05,0.9908910891089109,1
4369,0.0,0.0,1.0,0.1026388750814638,0.00024273024658458131,0.0,0.0005396039603960396,0.9999385851256802,0.0006594269870609981,0.999460396039604,2
4370,0.0,0.0,0.0,0.0007179861042073985,3.2943031615427447e-06,0.0,0.017227722772277226,0.999999352163773,4.158964879852125e-06,0.9827722772277228,0
4371,0.0,0.0,1.0,0.5112613358959914,0.0007824968282349334,1.0,0.00010247524752475247,0.9988810572687224,0.0017102587800369685,0.9998975247524753,2
4372,0.0,1.0,0.0,0.0005412510631717313,9.48360001050184e-06,0.0,0.043910891089108915,0.9999979269240736,3.234750462107209e-05,0.956089108910891,2
4373,0.0,1.0,0.0,0.0010272724260198163,1.1579974749665404e-05,0.0,0.05445544554455446,0.9999905415910858,2.4953789279112753e-05,0.9455445544554455,2
4374,0.0,1.0,0.0,0.002606841855276093,1.2777903172044585e-05,0.0,0.04950495049504951,0.999996760818865,5.1293900184842884e-05,0.9504950495049505,2
4375,0.0,1.0,0.0,0.0008394914449194196,6.089469480427498e-06,0.0,0.04950495049504951,0.9999983156258098,1.5711645101663585e-05,0.9504950495049505,2
4376,1.0,0.0,0.0,0.0008173995647899614,9.783082116096635e-06,0.0,0.011732673267326733,0.9999896346203679,4.205175600739371e-05,0.9882673267326733,2
4377,0.0,1.0,0.0,0.0006958942240779401,1.2827816856310384e-05,0.0,0.16336633663366337,0.9999962425498834,4.8983364140480595e-05,0.8366336633663366,2
4378,1.0,1.0,0.0,0.014547503065248369,8.899609904591989e-05,0.0,0.0019257425742574257,0.9999905415910858,5.4066543438077626e-05,0.9980742574257426,2
4379,0.0,1.0,0.0,0.0032585523190951167,1.4474968437081756e-05,0.0,0.08415841584158416,0.9999952060119202,4.297597042513863e-05,0.9158415841584159,2
4380,0.0,0.0,1.0,0.04759695573891816,0.00022765631393630996,0.0,0.0005346534653465347,0.9999225187872506,0.0005138632162661737,0.9994653465346535,2
4381,0.0,0.0,1.0,0.016270669715346124,0.0007190565355331026,0.0,0.0011188118811881187,0.9998082404768075,0.001592883548983364,0.9988811881188119,2
4382,0.0,0.0,0.0,0.0011929615269907544,3.498949267032521e-05,0.0,0.02876237623762376,0.999979917076963,0.00020194085027726432,0.9712376237623762,0
4383,0.0,0.0,1.0,0.7162408456771714,0.0005828920048560025,0.0,8.762376237623762e-05,0.9995548069448044,0.001587800369685767,0.9999123762376237,2
4384,1.0,1.0,0.0,0.12211286741558139,0.00021627599392370775,0.0,0.00041089108910891093,0.9998662866027468,0.00035813308687615526,0.9995891089108911,2
4385,0.0,1.0,0.0,0.0011377318266671084,4.841627373782518e-06,0.0,0.06435643564356436,0.9999988338947914,1.709796672828096e-05,0.9356435643564356,2
4386,0.0,0.0,0.0,0.002341739293722592,3.4939578986059406e-06,0.0,0.015346534653465346,0.9999977973568281,1.2014787430683919e-05,0.9846534653465346,0
4387,1.0,0.0,1.0,0.011266858866023792,0.00044627825102051024,0.0,0.0022722772277227726,0.9994891163513864,0.0014902957486136784,0.9977277227722773,2
4388,0.0,1.0,0.0,0.0007511239244015861,8.525257272598495e-05,0.0,0.02,0.9999358642135269,3.8354898336414045e-05,0.98,2
4389,0.0,1.0,0.0,0.0005743888833659187,7.73662106119887e-06,0.0,0.012673267326732674,0.999998056491319,3.6044362292051755e-05,0.9873267326732673,2
4390,0.0,1.0,0.0,0.0005191591830422727,1.3376867383234174e-05,0.0,0.03321782178217821,0.9999965016843742,5.730129390018484e-05,0.9667821782178218,2
4391,0.0,1.0,0.0,0.000474975422783356,6.938002112946083e-06,0.0,0.08910891089108912,0.9999963721171288,2.356746765249538e-05,0.9108910891089109,2
4392,0.0,1.0,0.0,0.000740077984336857,1.1080837907007412e-05,0.0,0.02331683168316832,0.9999939103394662,5.1756007393715344e-05,0.9766831683168317,2
4393,0.0,1.0,0.0,0.015552683611138726,2.3858741079051997e-05,0.0,0.031435643564356436,0.999985747603006,6.192236598890943e-05,0.9685643564356435,2
4394,0.0,1.0,0.0,0.0008394914449194196,7.73662106119887e-06,0.0,0.05445544554455446,0.9999937807722208,3.188539741219963e-05,0.9455445544554455,2
4395,1.0,0.0,0.0,0.0014028343882206095,5.889814743364301e-06,0.0,0.006633663366336634,0.9999985747603006,1.6173752310536044e-05,0.9933663366336634,2
4396,0.0,0.0,1.0,0.11837933967370291,0.00010986001906902394,0.0,0.00018663366336633665,0.9999619072298523,0.000166358595194085,0.9998133663366336,2
4397,0.0,0.0,0.0,0.0007179861042073985,4.941454742314116e-06,0.0,0.014207920792079207,0.999998704327546,7.393715341959335e-06,0.9857920792079208,0
4398,0.0,1.0,0.0,0.0004970673029128143,7.487052639869873e-06,0.0,0.01935643564356436,0.9999985747603006,1.1090573012939e-05,0.9806435643564356,2
4399,1.0,1.0,0.0,0.009035578972948493,0.0001253831748756875,0.0,0.05445544554455446,0.9999450634879502,0.0003650646950092421,0.9455445544554455,2
4400,0.0,0.0,0.0,0.0010935480664081916,1.1130751591273212e-05,0.0,0.02747524752475248,0.9999962425498834,3.419593345656192e-05,0.9725247524752475,0
4401,0.0,1.0,0.0,0.014801559686737138,0.0002835097266297392,0.0,0.015841584158415842,0.9998298782067894,0.0004967652495378928,0.9841584158415841,2
4402,0.0,1.0,0.0,0.0007290320442721277,7.886362113996266e-06,0.0,0.015148514851485148,0.9999976677895828,6.469500924214418e-06,0.9848514851485148,2
4403,0.0,1.0,0.0,0.000265102561553501,0.0005681674679975918,0.0,0.13366336633663367,0.9996641616999222,0.0014893715341959333,0.8663366336633663,2
4404,1.0,0.0,0.0,0.008494327909776762,0.00011350371802042728,1.0,0.023564356435643568,0.9999705882352942,0.00029390018484288355,0.9764356435643564,2
4405,0.0,1.0,0.0,0.0011487777667318377,1.4824364226942349e-05,0.0,0.0693069306930693,0.9999841927960612,4.621072088724584e-05,0.9306930693069307,2
4406,0.0,1.0,0.0,0.0004528835426538975,8.33558527238846e-06,0.0,0.07920792079207922,0.9999976677895828,3.6044362292051755e-05,0.9207920792079207,2
4407,0.0,1.0,0.0,0.00044183760258916833,1.1280492644070608e-05,0.0,0.023663366336633664,0.9999976677895828,3.8354898336414045e-05,0.9763366336633663,2
