,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_model_snr,koi_prad,koi_fpflag_ec,koi_duration_err1,koi_prad_err2,koi_prad_err1,koi_duration_err2,koi_disposition
438,1,0,0,42.9,18.93,1,0.0732,-1.46,3.18,-0.0732,FALSE POSITIVE
439,0,0,0,29.5,2.7,0,0.106,-0.25,0.78,-0.106,CONFIRMED
440,1,0,0,39.7,1.71,1,0.551,-0.13,0.15,-0.551,FALSE POSITIVE
441,0,0,0,51.7,1.86,0,0.04,-0.09,0.07,-0.04,CONFIRMED
442,0,0,0,318.3,9.83,0,0.0515,-1.2,1.48,-0.0515,CONFIRMED
443,1,0,1,180.6,72.52,0,0.0122,-17.05,11.35,-0.0122,FALSE POSITIVE
444,0,0,1,56.0,9.84,1,0.6920000000000001,-1.22,2.84,-0.6920000000000001,FALSE POSITIVE
445,1,0,0,30.7,2.08,1,0.122,-0.24,0.62,-0.122,FALSE POSITIVE
446,0,0,0,61.9,5.4,0,0.235,-0.61,0.55,-0.235,CANDIDATE
447,0,0,0,38.0,2.77,0,0.07,-0.23,0.43,-0.07,CONFIRMED
448,0,0,0,166.3,4.66,0,0.0206,-0.44,1.34,-0.0206,CONFIRMED
449,0,0,1,4061.9,21.42,0,0.0029,-9.48,6.33,-0.0029,CONFIRMED
450,0,0,0,794.3,10.63,0,0.00525,-1.53,3.57,-0.00525,CONFIRMED
451,0,0,0,59.1,3.1,0,0.1,-0.3,0.9,-0.1,CONFIRMED
452,0,0,0,39.3,3.01,0,0.0738,-0.29,0.88,-0.0738,CONFIRMED
453,1,0,1,18.3,10.05,0,0.341,-1.03,0.78,-0.341,FALSE POSITIVE
454,1,0,0,35.4,34.0,1,0.11800000000000001,-7.78,5.2,-0.11800000000000001,FALSE POSITIVE
455,0,0,0,15.6,1.64,0,0.24600000000000002,-0.21,0.49,-0.24600000000000002,CONFIRMED
456,1,1,0,100.1,47.75,0,0.271,-11.29,7.53,-0.271,FALSE POSITIVE
457,0,0,0,43.2,2.59,0,0.0647,-0.28,0.82,-0.0647,CONFIRMED
458,0,0,0,79.7,6.57,0,0.0363,-0.59,1.9,-0.0363,CANDIDATE
459,0,0,0,147.2,2.28,0,0.0196,-0.2,0.19,-0.0196,CONFIRMED
460,0,0,0,24.6,2.41,0,0.0987,-0.32,0.27,-0.0987,CONFIRMED
461,0,0,0,25.6,1.52,0,0.0852,-0.2,0.17,-0.0852,CONFIRMED
462,0,0,0,97.4,3.08,0,0.0794,-0.49,0.44,-0.0794,CONFIRMED
463,0,0,0,54.3,2.45,0,0.0487,-0.27,0.8,-0.0487,CONFIRMED
464,0,0,0,60.0,2.53,0,0.026000000000000002,-0.1,0.16,-0.026000000000000002,CANDIDATE
465,0,0,0,2981.3,2.31,0,0.0037799999999999995,0.0,0.0,-0.0037799999999999995,CANDIDATE
466,0,0,1,1642.2,15.61,0,0.0052,-1.2,2.83,-0.0052,FALSE POSITIVE
467,1,0,0,130.0,268.65,0,0.0256,-23.53,51.42,-0.0256,FALSE POSITIVE
468,1,0,1,603.4,14.49,0,0.0126,-2.46,2.46,-0.0126,FALSE POSITIVE
469,0,0,1,2477.0,23.76,0,0.00413,-7.51,5.01,-0.00413,FALSE POSITIVE
470,1,0,1,294.8,5.67,1,0.0756,-0.45,1.35,-0.0756,FALSE POSITIVE
471,0,0,1,445.7,24.19,0,0.033,-6.7,6.7,-0.033,FALSE POSITIVE
472,1,0,1,36.7,23.6,0,0.129,-2.21,6.18,-0.129,FALSE POSITIVE
473,0,0,0,54.7,8.19,0,0.0575,-1.23,1.36,-0.0575,CONFIRMED
474,1,1,0,52.4,1.45,1,0.069,-0.13,0.12,-0.069,FALSE POSITIVE
475,0,0,0,28.6,2.0,0,0.0915,-0.27,0.22,-0.0915,CONFIRMED
476,1,0,0,88.8,12.93,1,0.124,-0.84,0.83,-0.124,FALSE POSITIVE
477,0,0,0,56.3,2.36,0,0.0315,-0.17,0.2,-0.0315,CANDIDATE
478,0,0,0,11.4,0.68,0,0.223,-0.05,0.06,-0.223,CONFIRMED
479,0,0,0,20.8,2.8,0,0.0698,-0.29,0.89,-0.0698,CANDIDATE
480,0,0,0,111.4,0.78,0,0.00939,-0.09,0.2,-0.00939,CONFIRMED
481,0,0,1,150.4,0.76,0,0.015,-0.09,0.19,-0.015,CONFIRMED
482,0,0,1,806.5,13.95,0,0.0115,-2.5,4.3,-0.0115,FALSE POSITIVE
483,1,0,1,274.9,51.86,1,0.0141,-6.52,15.23,-0.0141,FALSE POSITIVE
484,1,0,1,137.5,33.01,0,0.0247,-3.55,10.6,-0.0247,FALSE POSITIVE
485,1,1,0,149.3,32.66,1,0.0987,-3.64,10.96,-0.0987,FALSE POSITIVE
486,1,0,1,124.3,8.88,1,0.0472,-0.93,2.8,-0.0472,FALSE POSITIVE
487,0,0,1,56.3,27.21,0,0.0395,-1.96,3.61,-0.0395,FALSE POSITIVE
488,0,0,0,40.8,2.83,0,0.105,-0.25,0.36,-0.105,CONFIRMED
489,0,0,0,29.3,2.32,0,0.0774,-0.2,0.3,-0.0774,CONFIRMED
